"filename", "language", "JavaScript", "Markdown", "YAML", "Shell Script", "JSON", "JSON with Comments", "CSS", "TypeScript", "TypeScript JSX", "Ignore", "comment", "blank", "total"
"/Users/paul/development/src/github/raikou/packages/raikou/colors-generator/dist/index.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 79
"/Users/paul/development/src/github/raikou/packages/raikou/colors-generator/dist/index.mjs", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 41
"/Users/paul/development/src/github/raikou/packages/raikou/colors-generator/package.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 20, 0, 37
"/Users/paul/development/src/github/raikou/packages/raikou/colors-generator/src/generate-colors.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 8, 54
"/Users/paul/development/src/github/raikou/packages/raikou/colors-generator/src/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/Users/paul/development/src/github/raikou/packages/raikou/colors-generator/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/paul/development/src/github/raikou/packages/raikou/components/Accordion/dist/index.d.mts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 18, 8, 146
"/Users/paul/development/src/github/raikou/packages/raikou/components/Accordion/dist/index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 18, 8, 146
"/Users/paul/development/src/github/raikou/packages/raikou/components/Accordion/dist/index.js", "JavaScript", 619, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 21, 665
"/Users/paul/development/src/github/raikou/packages/raikou/components/Accordion/dist/index.mjs", "JavaScript", 618, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 20, 657
"/Users/paul/development/src/github/raikou/packages/raikou/components/Accordion/package.json", "JSON", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 4, 1, 51
